Retailer Code,Sub Ret Cat Name,Zone Name,Region Name,Territory Name
ATHU0318,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0319,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0321,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0322,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0323,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0324,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0326,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0328,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0329,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0330,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0331,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0332,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0335,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0336,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0337,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0339,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0341,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0345,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0346,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0347,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0348,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
